target,components,n_features,skipped,rmse,mae,r2,auc,roc_auc,pr_auc,brier
pass_rate,patch,13,False,0.35999897630582944,0.28542633087297764,0.3753075497994781,,,,
pass_rate,repo,14,False,0.36732233042227613,0.2913874431758645,0.3496331635409906,,,,
pass_rate,prompt,27,False,0.4498602578491889,0.41711247294672404,0.02451862599014709,,,,
pass_rate,patch+repo,27,False,0.3526525640841688,0.2747426694433849,0.40054330161653673,,,,
pass_rate,patch+prompt,40,False,0.35853192619917534,0.2904796275731903,0.3803886074662013,,,,
pass_rate,repo+prompt,41,False,0.36399283245667036,0.29451944092601273,0.3613698920189474,,,,
pass_rate,patch+repo+prompt,54,False,0.35101268762170573,0.2771439836604657,0.4061054294160962,,,,
any_success,patch,13,False,,,,0.8462644231438646,0.8462644231438646,0.9054877611594404,0.13541841506958008
any_success,repo,14,False,,,,0.838616507325682,0.838616507325682,0.9013926807001575,0.1373574286699295
any_success,prompt,27,False,,,,0.5989815850642412,0.5989815850642412,0.7372046721209156,0.21406719088554382
any_success,patch+repo,27,False,,,,0.8611731066618629,0.8611731066618629,0.914916815471567,0.12861031293869019
any_success,patch+prompt,40,False,,,,0.8495265730027116,0.8495265730027116,0.9052005176585786,0.1347103714942932
any_success,repo+prompt,41,False,,,,0.8391858619903437,0.8391858619903437,0.9022306505229668,0.13770315051078796
any_success,patch+repo+prompt,54,False,,,,0.8629894339783555,0.8629894339783555,0.9161731898432707,0.12879449129104614
maj_success,patch,13,False,,,,0.8297826821588721,0.8297826821588721,0.8722116542464426,0.15434956550598145
maj_success,repo,14,False,,,,0.819632262477134,0.819632262477134,0.8669559373706216,0.15833579003810883
maj_success,prompt,27,False,,,,0.5925026660110404,0.5925026660110404,0.6883724702877579,0.231174498796463
maj_success,patch+repo,27,False,,,,0.8407794718161656,0.8407794718161656,0.8807452670649665,0.1488185077905655
maj_success,patch+prompt,40,False,,,,0.8318067258349117,0.8318067258349117,0.8724384485564121,0.1544400453567505
maj_success,repo+prompt,41,False,,,,0.8230350942159196,0.8230350942159196,0.870236142284203,0.15789921581745148
maj_success,patch+repo+prompt,54,False,,,,0.8455474580318262,0.8455474580318262,0.8839148081651806,0.14777301251888275
