feature,mean_abs_shap
patch_num_hunks,0.06269870066878448
patch_lines_deleted,0.04539326019523523
patch_hunk_gap_mean,0.02875879993345606
repo_top_level_dir_count,0.02815398084003379
patch_lines_added,0.026267295455306698
repo_dir_count,0.018422491387498834
repo_mean_known_file_size,0.014433566385200226
repo_total_known_size,0.013389203367492658
repo_test_ratio,0.012428322772880623
repo_python_file_count,0.011862288755657851
patch_python_files_changed,0.01173594769681094
repo_mean_file_depth,0.01007724828169087
prompt_sent_count,0.009914614715920545
patch_edit_fragmentation,0.00903639510229248
prompt_coordination_density,0.00881009272785196
repo_basename_collision_count,0.00866458161926765
prompt_entity_reuse_ratio,0.008339055764060322
prompt_pp_density_per_noun,0.007879419160027091
repo_file_count,0.007844024939264095
prompt_len_bpe,0.006821213190460055
prompt_pp_density_per_clause,0.006409149594541849
prompt_clause_nesting_depth_mean,0.0063474981372063505
prompt_mean_competing_dependents_per_head,0.006322020957610281
repo_has_tests_dir,0.006232129731607653
repo_test_file_count,0.006219809129571337
prompt_pronouns_per_sentence,0.006037799085043086
prompt_pronoun_candidate_antecedent_density,0.0059666218674832615
prompt_branching_factor_mean,0.005950029263211932
prompt_clausal_branching_factor,0.005742629394348191
prompt_dep_distance_mean,0.005572727856516162
prompt_adjacent_lemma_overlap_mean,0.005442282156742662
prompt_sentence_embedding_sim_min,0.005424741022280332
prompt_dep_distance_max,0.005176705027514203
prompt_multi_antecedent_pronoun_ratio,0.005095131456033019
prompt_mean_conj_chain_len,0.004946607058107657
prompt_sentence_embedding_sim_mean,0.004822776737961187
prompt_clause_length_mean,0.004822166292633704
prompt_verb_coordination_ratio,0.004706471990904305
prompt_attachment_competition_ratio,0.004016818716964583
prompt_multi_pp_head_ratio,0.003890270724607541
patch_primary_file_depth,0.0038494298266001643
prompt_noun_coordination_ratio,0.003682792194872438
repo_max_depth,0.002523402814158931
patch_extensions_changed_count,0.0019356957053708892
patch_churn_gini_over_files,0.0018716964747069668
prompt_mean_pp_chain_depth,0.0015673201320658948
repo_has_examples_dir,0.0012620743154161528
repo_has_docs_dir,0.0012214215424798745
patch_src_files_changed,0.0011527946191965351
patch_num_unique_dirs_changed,0.0011335603175838082
patch_is_single_file,0.0010983765625082618
prompt_max_pp_chain_depth,0.0004184921929470523
prompt_max_conj_chain_len,6.920392791169428e-05
patch_test_files_changed,0.0
